Segment	Milliseconds (Subject_16)
0	20342
1	87447
2	56644
3	24540
4	47461
5	43929
6	11703
7	38519
8	30716
9	68889
10	67965
11	22913
12	34212
13	78219
14	38909
15	60028
16	15912
17	15663
18	93443
19	10346
20	9937
21	10186
22	47064
23	47923
24	65129
25	33914
