Segment	Milliseconds (Subject_7)
0	37226
1	189491
2	79611
3	119931
4	22745
5	48095
6	17581
7	29267
8	137747
9	85594
10	15477
11	147606
12	8956
13	2464
14	44574
15	31857
16	27466
17	20484
18	7235
19	31075
20	6928
21	6863
22	7626
23	13478
24	25290
