Segment	Milliseconds (Subject_6)
0	123441
1	188229
2	166589
3	140759
4	228650
5	65480
6	111224
7	87053
8	39717
9	116250
10	68688
11	122590
12	81440
13	56305
14	6366
15	18033
16	8052
17	25756
18	11468
19	5586
20	1606
21	1201
22	1169
23	10611
24	7923
