Segment	Milliseconds (Subject_1)
0	21684
1	16860
2	53485
3	30385
4	33232
5	50301
6	14593
7	32891
8	22174
9	58449
10	14184
11	34375
12	29773
13	44412
14	50786
15	42219
16	20052
17	47895
18	65004
19	5737
20	3761
21	42091
22	39988
23	30855
24	47198
25	44878
