Segment	Milliseconds (Subject_9)
0	13948
1	56898
2	72849
3	76596
4	56208
5	69547
6	142085
7	24681
8	8141
9	59279
10	16679
11	2682
12	36988
13	82135
14	62823
15	48157
16	27144
17	23757
18	32181
19	5695
20	0
21	15
22	25210
23	1074
24	25553
25	25397
