Segment	Milliseconds (Subject_6)
0	9269
1	10639
2	95787
3	30277
4	34775
5	47629
6	18943
7	35059
8	6568
9	34535
10	44405
11	35820
12	47706
13	26975
14	34211
15	47225
16	19801
17	15476
18	34937
19	27535
20	9302
21	44430
22	41701
23	19846
24	15119
25	37988
