Segment	Milliseconds (Subject_2)
0	15630
1	14649
2	38082
3	46653
4	56594
5	54603
6	18250
7	15523
8	48797
9	58873
10	24103
11	18361
12	9874
13	62615
14	46643
15	18237
16	21168
17	6613
18	15629
19	2731
20	531
21	11078
22	70043
23	9969
24	58404
25	31104
