Segment	Milliseconds (Subject_5)
0	62528
1	78968
2	183098
3	44197
4	73713
5	75536
6	31901
7	33539
8	38016
9	44304
10	21948
11	32558
12	48001
13	32684
14	58405
15	30575
16	17833
17	28859
18	51636
19	31608
20	13417
21	8627
22	11794
23	34757
24	120471
