Segment	Milliseconds (Subject_3)
0	48868
1	45737
2	52072
3	18532
4	41901
5	20248
6	19035
7	15543
8	38361
9	46363
10	34068
11	14571
12	43539
13	15679
14	30047
15	17845
16	41290
17	43725
18	11872
19	16097
20	10857
21	9953
22	14742
23	85784
24	85164
