Segment	Milliseconds (Subject_4)
0	18204
1	6140
2	17036
3	16500
4	25756
5	11104
6	17626
7	10871
8	14480
9	17566
10	24521
11	17383
12	20875
13	21264
14	15054
15	10262
16	3136
17	6146
18	9768
19	3415
20	1544
21	2119
22	26520
23	8833
24	15635
25	9141
