Segment	Milliseconds (Subject_7)
0	3339
1	20106
2	73242
3	102276
4	44154
5	45089
6	33214
7	21576
8	35100
9	13247
10	4850
11	10171
12	10766
13	31649
14	126418
15	32778
16	23383
17	8720
18	17894
19	63
20	968
21	16473
22	23415
23	12494
24	35568
25	55991
