Segment	Milliseconds (Subject_3)
0	3743
1	9262
2	40980
3	36719
4	1716
5	68565
6	20935
7	18221
8	8719
9	30547
10	9674
11	24164
12	22728
13	30716
14	37782
15	19060
16	28016
17	17954
18	15880
19	93
20	0
21	7036
22	49497
23	17690
24	28357
25	35645
