Segment	Milliseconds (Subject_8)
0	98060
1	86141
2	165907
3	52010
4	56660
5	65675
6	44507
7	30143
8	11451
9	69965
10	111883
11	52072
12	66425
13	62432
14	27952
15	20624
16	133285
17	25738
18	7206
19	22745
20	109
21	1262
22	19843
23	23712
24	11821
