Segment	Milliseconds (Subject_9)
0	52244
1	63351
2	142385
3	148838
4	27817
5	156
6	21011
7	4431
8	22527
9	43196
10	11951
11	671
12	58061
13	15566
14	10155
15	6693
16	2607
17	18816
18	23401
19	0
20	0
21	0
22	4461
23	16724
24	29099
