Segment	Milliseconds (Subject_4)
0	14557
1	43055
2	55580
3	39017
4	11777
5	23383
6	10436
7	22524
8	19082
9	31854
10	12545
11	12540
12	20265
13	13902
14	15990
15	25657
16	17889
17	14242
18	12368
19	22682
20	1388
21	1310
22	6631
23	23117
24	37184
