Segment	Milliseconds (Subject_2)
0	67952
1	62152
2	86767
3	31950
4	53865
5	18706
6	33741
7	35723
8	24353
9	76722
10	44397
11	23136
12	22559
13	26067
14	58049
15	39172
16	32010
17	76663
18	42377
19	34337
20	15022
21	3603
22	8298
23	55572
24	63990
