Segment	Milliseconds (Subject_5)
0	31729
1	64678
2	15957
3	191454
4	43214
5	60405
6	3822
7	28942
8	20777
9	33605
10	117108
11	49079
12	99544
13	84443
14	183613
15	38332
16	34195
17	16693
18	24865
19	16368
20	4494
21	43477
22	50625
23	31324
24	51259
25	63806
