Segment	Milliseconds (Subject_12)
0	4915
1	34306
2	594
3	11108
4	3901
5	35768
6	7211
7	9095
8	983
9	13043
10	843
11	6833
12	14804
13	7298
14	15085
15	17349
16	4118
17	15992
18	6084
19	5492
20	4961
21	3744
22	10498
23	7555
24	5601
