Segment	Milliseconds (Subject_8)
0	0
1	0
2	15866
3	100946
4	77454
5	22993
6	22682
7	22682
8	40107
9	16895
10	38174
11	42587
12	13603
13	50156
14	38094
15	36645
16	75860
17	9029
18	5210
19	983
20	11200
21	45536
22	42665
23	44335
24	47863
25	32761
