Segment	Milliseconds (Subject_12)
0	110
1	2075
2	2731
3	24024
4	2698
5	1172
6	5414
7	22088
8	23824
9	19953
10	20106
11	1934
12	17939
13	5229
14	95335
15	14648
16	14493
17	10735
18	4929
19	6833
20	0
21	18673
22	90402
23	8566
24	25941
25	10747
