Segment	Milliseconds (Subject_1)
0	54030
1	160371
2	100232
3	16600
4	36605
5	22927
6	30016
7	21472
8	40629
9	147041
10	28776
11	29125
12	22967
13	22379
14	90134
15	112916
16	24048
17	87502
18	16853
19	38679
20	9634
21	17485
22	18156
23	48133
24	71291
