moses	s0-en	s1-en	s2-en	s3-en	s4-en	s5-en	s6-en
7\%	0\%	0\%	0\%	0\%	0\%	4\%	0\%
44\%	11\%	19\%	0\%	0\%	7\%	19\%	11\%
26\%	30\%	22\%	7\%	19\%	22\%	33\%	30\%
4\%	22\%	22\%	22\%	30\%	30\%	30\%	22\%
19\%	30\%	33\%	44\%	44\%	33\%	11\%	37\%
0\%	7\%	4\%	26\%	7\%	7\%	4\%	0\%
