Segment	Milliseconds (Subject_1)	Milliseconds (Subject_12)	Milliseconds (Subject_16)	Milliseconds (Subject_2)	Milliseconds (Subject_3)	Milliseconds (Subject_4)	Milliseconds (Subject_5)	Milliseconds (Subject_6)	Milliseconds (Subject_7)	Milliseconds (Subject_8)	Milliseconds (Subject_9)
0	54030	4915	61322	67952	48868	14557	62528	123441	37226	98060	52244
1	160371	34306	63928	62152	45737	43055	78968	188229	189491	86141	63351
2	100232	594	86739	86767	52072	55580	183098	166589	79611	165907	142385
3	16600	11108	29657	31950	18532	39017	44197	140759	119931	52010	148838
4	36605	3901	23010	53865	41901	11777	73713	228650	22745	56660	27817
5	22927	35768	10389	18706	20248	23383	75536	65480	48095	65675	156
6	30016	7211	48421	33741	19035	10436	31901	111224	17581	44507	21011
7	21472	9095	46912	35723	15543	22524	33539	87053	29267	30143	4431
8	40629	983	32012	24353	38361	19082	38016	39717	137747	11451	22527
9	147041	13043	43088	76722	46363	31854	44304	116250	85594	69965	43196
10	28776	843	21608	44397	34068	12545	21948	68688	15477	111883	11951
11	29125	6833	47847	23136	14571	12540	32558	122590	147606	52072	671
12	22967	14804	57283	22559	43539	20265	48001	81440	8956	66425	58061
13	22379	7298	56830	26067	15679	13902	32684	56305	2464	62432	15566
14	90134	15085	29405	58049	30047	15990	58405	6366	44574	27952	10155
15	112916	17349	28314	39172	17845	25657	30575	18033	31857	20624	6693
16	24048	4118	53710	32010	41290	17889	17833	8052	27466	133285	2607
17	87502	15992	65270	76663	43725	14242	28859	25756	20484	25738	18816
18	16853	6084	28890	42377	11872	12368	51636	11468	7235	7206	23401
19	38679	5492	43293	34337	16097	22682	31608	5586	31075	22745	0
20	9634	4961	3043	15022	10857	1388	13417	1606	6928	109	0
21	17485	3744	15	3603	9953	1310	8627	1201	6863	1262	0
22	18156	10498	10453	8298	14742	6631	11794	1169	7626	19843	4461
23	48133	7555	40248	55572	85784	23117	34757	10611	13478	23712	16724
24	71291	5601	59766	63990	85164	37184	120471	7923	25290	11821	29099
