Subject	Number of pauses >= 300ms
Subject_1	0	5
Subject_1	1	27
Subject_1	2	25
Subject_1	3	0
Subject_1	4	13
Subject_1	5	6
Subject_1	6	11
Subject_1	7	5
Subject_1	8	7
Subject_1	9	9
Subject_1	10	0
Subject_1	11	1
Subject_1	12	7
Subject_1	13	4
Subject_1	14	12
Subject_1	15	14
Subject_1	16	6
Subject_1	17	22
Subject_1	18	0
Subject_1	19	3
Subject_1	20	7
Subject_1	21	7
Subject_1	22	8
Subject_1	23	10
Subject_1	24	9
Subject_2	0	14
Subject_2	1	15
Subject_2	2	10
Subject_2	3	5
Subject_2	4	3
Subject_2	5	4
Subject_2	6	9
Subject_2	7	10
Subject_2	8	5
Subject_2	9	11
Subject_2	10	2
Subject_2	11	4
Subject_2	12	8
Subject_2	13	4
Subject_2	14	11
Subject_2	15	15
Subject_2	16	6
Subject_2	17	15
Subject_2	18	6
Subject_2	19	4
Subject_2	20	2
Subject_2	21	1
Subject_2	22	5
Subject_2	23	8
Subject_2	24	24
Subject_3	0	13
Subject_3	1	14
Subject_3	2	17
Subject_3	3	6
Subject_3	4	10
Subject_3	5	3
Subject_3	6	9
Subject_3	7	5
Subject_3	8	17
Subject_3	9	9
Subject_3	10	2
Subject_3	11	1
Subject_3	12	15
Subject_3	13	5
Subject_3	14	8
Subject_3	15	2
Subject_3	16	10
Subject_3	17	17
Subject_3	18	2
Subject_3	19	6
Subject_3	20	7
Subject_3	21	6
Subject_3	22	9
Subject_3	23	37
Subject_3	24	25
Subject_4	0	15
Subject_4	1	23
Subject_4	2	28
Subject_4	3	5
Subject_4	4	9
Subject_4	5	8
Subject_4	6	6
Subject_4	7	6
Subject_4	8	5
Subject_4	9	14
Subject_4	10	3
Subject_4	11	1
Subject_4	12	13
Subject_4	13	3
Subject_4	14	12
Subject_4	15	13
Subject_4	16	10
Subject_4	17	8
Subject_4	18	6
Subject_4	19	11
Subject_4	20	1
Subject_4	21	1
Subject_4	22	3
Subject_4	23	9
Subject_4	24	9
Subject_5	0	12
Subject_5	1	34
Subject_5	2	38
Subject_5	3	3
Subject_5	4	21
Subject_5	5	3
Subject_5	6	11
Subject_5	7	19
Subject_5	8	8
Subject_5	9	10
Subject_5	10	2
Subject_5	11	9
Subject_5	12	19
Subject_5	13	10
Subject_5	14	19
Subject_5	15	6
Subject_5	16	8
Subject_5	17	26
Subject_5	18	0
Subject_5	19	4
Subject_5	20	4
Subject_5	21	6
Subject_5	22	4
Subject_5	23	12
Subject_5	24	22
Subject_6	0	29
Subject_6	1	23
Subject_6	2	52
Subject_6	3	16
Subject_6	4	40
Subject_6	5	20
Subject_6	6	26
Subject_6	7	21
Subject_6	8	20
Subject_6	9	59
Subject_6	10	0
Subject_6	11	35
Subject_6	12	27
Subject_6	13	8
Subject_6	14	1
Subject_6	15	0
Subject_6	16	2
Subject_6	17	10
Subject_6	18	1
Subject_6	19	3
Subject_6	20	0
Subject_6	21	0
Subject_6	22	0
Subject_6	23	5
Subject_6	24	2
Subject_7	0	19
Subject_7	1	20
Subject_7	2	25
Subject_7	3	1
Subject_7	4	7
Subject_7	5	9
Subject_7	6	8
Subject_7	7	6
Subject_7	8	15
Subject_7	9	5
Subject_7	10	10
Subject_7	11	19
Subject_7	12	2
Subject_7	13	1
Subject_7	14	12
Subject_7	15	15
Subject_7	16	4
Subject_7	17	13
Subject_7	18	0
Subject_7	19	9
Subject_7	20	11
Subject_7	21	8
Subject_7	22	5
Subject_7	23	6
Subject_7	24	13
Subject_8	0	23
Subject_8	1	20
Subject_8	2	9
Subject_8	3	5
Subject_8	4	9
Subject_8	5	13
Subject_8	6	13
Subject_8	7	11
Subject_8	8	4
Subject_8	9	11
Subject_8	10	21
Subject_8	11	5
Subject_8	12	23
Subject_8	13	13
Subject_8	14	3
Subject_8	15	7
Subject_8	16	27
Subject_8	17	5
Subject_8	18	0
Subject_8	19	5
Subject_8	20	0
Subject_8	21	2
Subject_8	22	5
Subject_8	23	10
Subject_8	24	6
Subject_9	0	12
Subject_9	1	35
Subject_9	2	11
Subject_9	3	15
Subject_9	4	2
Subject_9	5	0
Subject_9	6	6
Subject_9	7	0
Subject_9	8	3
Subject_9	9	3
Subject_9	10	0
Subject_9	11	0
Subject_9	12	30
Subject_9	13	1
Subject_9	14	2
Subject_9	15	3
Subject_9	16	0
Subject_9	17	2
Subject_9	18	0
Subject_9	19	0
Subject_9	20	0
Subject_9	21	0
Subject_9	22	2
Subject_9	23	10
Subject_9	24	0
Subject_12	0	21
Subject_12	1	17
Subject_12	2	39
Subject_12	3	3
Subject_12	4	1
Subject_12	5	10
Subject_12	6	8
Subject_12	7	18
Subject_12	8	17
Subject_12	9	21
Subject_12	10	10
Subject_12	11	3
Subject_12	12	6
Subject_12	13	3
Subject_12	14	6
Subject_12	15	17
Subject_12	16	2
Subject_12	17	29
Subject_12	18	3
Subject_12	19	0
Subject_12	20	8
Subject_12	21	3
Subject_12	22	6
Subject_12	23	6
Subject_12	24	5
Subject_16	0	29
Subject_16	1	27
Subject_16	2	28
Subject_16	3	13
Subject_16	4	6
Subject_16	5	4
Subject_16	6	13
Subject_16	7	27
Subject_16	8	9
Subject_16	9	13
Subject_16	10	11
Subject_16	11	19
Subject_16	12	29
Subject_16	13	23
Subject_16	14	9
Subject_16	15	10
Subject_16	16	28
Subject_16	17	17
Subject_16	18	22
Subject_16	19	20
Subject_16	20	0
Subject_16	21	0
Subject_16	22	10
Subject_16	23	27
Subject_16	24	30
