Subject	Document	Sentence	Duration of first pause after focus was gained (milliseconds)
Subject_2	2	2	75021
Subject_2	2	6	5351
Subject_2	2	7	3978
Subject_2	2	8	4711
Subject_2	2	9	9298
Subject_2	2	12	796
Subject_2	2	13	3276
Subject_2	2	14	1076
Subject_2	2	15	10608
Subject_2	2	16	2309
Subject_2	2	17	1233
Subject_2	2	18	3603
Subject_2	2	17	2496
Subject_2	2	19	6521
Subject_2	2	22	1419
Subject_2	2	23	1138
Subject_2	2	24	780
Subject_3	2	0	34492
Subject_3	2	0	1966
Subject_3	2	1	4477
Subject_3	2	2	20764
Subject_3	2	3	12074
Subject_3	2	4	8596
Subject_3	2	5	11138
Subject_3	2	6	640
Subject_3	2	7	1857
Subject_3	2	8	11715
Subject_3	2	9	33947
Subject_3	2	12	1420
Subject_3	2	13	686
Subject_3	2	14	655
Subject_3	2	15	8330
Subject_3	2	16	12059
Subject_3	2	17	2808
Subject_3	2	19	24211
Subject_3	2	22	3463
Subject_3	2	23	7270
Subject_3	2	24	10764
Subject_3	2	20	1076
Subject_3	2	21	1170
Subject_3	2	22	468
Subject_3	2	23	1497
Subject_3	2	24	1825
Subject_4	2	0	30841
Subject_4	2	1	8175
Subject_4	2	2	55988
Subject_4	2	3	11949
Subject_4	2	4	7753
Subject_4	2	5	15507
Subject_4	2	6	8486
Subject_4	2	7	2277
Subject_4	2	8	10639
Subject_4	2	9	18393
Subject_4	2	12	9189
Subject_4	2	13	6958
Subject_4	2	14	5648
Subject_4	2	15	6490
Subject_4	2	16	6489
Subject_4	2	17	1841
Subject_4	2	17	592
Subject_4	2	18	858
Subject_4	2	19	5335
Subject_4	2	22	14321
Subject_4	2	23	20389
Subject_4	2	24	765
Subject_5	2	0	40513
Subject_5	2	1	16957
Subject_5	2	2	34210
Subject_5	2	4	1919
Subject_5	2	5	1404
Subject_5	2	6	2574
Subject_5	2	7	3120
Subject_5	2	8	1092
Subject_5	2	9	2184
Subject_5	2	11	11403
Subject_5	2	12	4056
Subject_5	2	13	1139
Subject_5	2	14	4243
Subject_5	2	15	1108
Subject_5	2	16	2527
Subject_5	2	17	3166
Subject_5	2	19	1155
Subject_5	2	20	2606
Subject_5	2	21	608
Subject_5	2	22	640
Subject_5	2	23	21216
Subject_5	2	24	998
Subject_6	2	0	163675
Subject_6	2	1	7769
Subject_6	2	1	41999
Subject_6	2	2	6240
Subject_6	2	3	15354
Subject_6	2	4	4353
Subject_6	2	3	11561
Subject_6	2	4	1669
Subject_6	2	5	2200
Subject_6	2	4	8018
Subject_6	2	5	1170
Subject_6	2	6	7722
Subject_6	2	7	12730
Subject_6	2	8	2683
Subject_6	2	9	10811
Subject_6	2	11	6412
Subject_6	2	11	873
Subject_6	2	12	34433
Subject_6	2	13	11842
Subject_6	2	16	1841
Subject_6	2	17	2028
Subject_6	2	23	2122
Subject_6	2	24	1310
Subject_7	2	0	118389
Subject_7	2	1	1654
Subject_7	2	2	1950
Subject_7	2	4	1107
Subject_7	2	5	1934
Subject_7	2	6	2589
Subject_7	2	7	1046
Subject_7	2	8	2153
Subject_7	2	10	1014
Subject_7	2	9	3775
Subject_7	2	10	3900
Subject_7	2	11	4056
Subject_7	2	12	1607
Subject_7	2	14	1997
Subject_7	2	15	1388
Subject_7	2	16	19562
Subject_7	2	17	2824
Subject_7	2	19	1810
Subject_7	2	20	4961
Subject_7	2	21	951
Subject_7	2	22	2995
Subject_7	2	23	811
Subject_7	2	24	2964
Subject_7	2	20	1107
Subject_7	2	21	1014
Subject_8	2	0	13822
Subject_8	2	1	15975
Subject_8	2	2	3994
Subject_8	2	3	2683
Subject_8	2	4	29905
Subject_8	2	5	4041
Subject_8	2	6	1373
Subject_8	2	7	2184
Subject_8	2	8	2278
Subject_8	2	9	1498
Subject_8	2	10	3619
Subject_8	2	11	1045
Subject_8	2	10	2184
Subject_8	2	11	1669
Subject_8	2	12	4040
Subject_8	2	13	4446
Subject_8	2	14	1061
Subject_8	2	15	1076
Subject_8	2	16	1529
Subject_8	2	17	3619
Subject_8	2	19	3354
Subject_8	2	21	1919
Subject_8	2	22	1357
Subject_8	2	23	2043
Subject_8	2	24	858
Subject_9	2	0	52478
Subject_9	2	1	24913
Subject_9	2	2	10889
Subject_9	2	3	30670
Subject_9	2	6	4275
Subject_9	2	9	6412
Subject_9	2	12	1560
Subject_9	2	14	1092
Subject_9	2	15	1763
Subject_9	2	17	5616
Subject_9	2	22	982
Subject_9	2	23	2137
Subject_9	2	1	1077
Subject_9	2	2	3073
Subject_12	2	0	11575
Subject_12	2	1	6349
Subject_12	2	2	1123
Subject_12	2	5	6349
Subject_12	2	6	3432
Subject_12	2	7	998
Subject_12	2	8	3261
Subject_12	2	9	1513
Subject_12	2	10	983
Subject_12	2	11	7612
Subject_12	2	12	6958
Subject_12	2	13	3089
Subject_12	2	14	3947
Subject_12	2	15	3042
Subject_12	2	16	670
Subject_12	2	17	2527
Subject_12	2	22	3557
Subject_12	2	20	578
Subject_12	2	21	1372
Subject_12	2	22	406
Subject_12	2	23	4150
Subject_12	2	24	2012
Subject_16	2	0	2074
Subject_16	2	1	7613
Subject_16	2	2	13962
Subject_16	2	3	3417
Subject_16	2	4	2511
Subject_16	2	5	3120
Subject_16	2	6	1809
Subject_16	2	7	1794
Subject_16	2	8	2761
Subject_16	2	9	2496
Subject_16	2	10	422
Subject_16	2	11	1279
Subject_16	2	12	4383
Subject_16	2	13	3588
Subject_16	2	14	2636
Subject_16	2	15	10889
Subject_16	2	16	1669
Subject_16	2	17	3604
Subject_16	2	18	2574
Subject_16	2	19	2090
Subject_16	2	22	1825
Subject_16	2	23	2918
Subject_16	2	24	8112
