moses	s0-en	s1-en	s2-en	s3-en	s4-en	s5-en	s6-en
0\%	0\%	0\%	0\%	0\%	4\%	0\%	0\%
29\%	25\%	11\%	0\%	0\%	7\%	11\%	14\%
29\%	21\%	21\%	0\%	4\%	25\%	32\%	29\%
29\%	32\%	36\%	43\%	50\%	36\%	32\%	43\%
14\%	21\%	21\%	50\%	39\%	29\%	25\%	14\%
0\%	0\%	11\%	7\%	7\%	0\%	0\%	0\%
